feat_dim,num_canonical_actions,num_complex_actions,complex_task_acc
2,2,6,0.8666666666666666
2,2,9,0.7944444444444445
2,2,12,0.8133333333333332
2,3,6,0.8666666666666666
2,3,9,0.7944444444444445
2,3,12,0.8133333333333332
2,4,6,0.8666666666666666
2,4,9,0.7944444444444445
2,4,12,0.8133333333333332
2,5,6,0.8666666666666666
2,5,9,0.7944444444444445
2,5,12,0.8133333333333332
3,2,6,0.8283333333333334
3,2,9,0.7822222222222222
3,2,12,0.7891666666666667
3,3,6,0.8283333333333334
3,3,9,0.7822222222222222
3,3,12,0.7891666666666667
3,4,6,0.8283333333333334
3,4,9,0.7822222222222222
3,4,12,0.7891666666666667
3,5,6,0.8283333333333334
3,5,9,0.7822222222222222
3,5,12,0.7891666666666667
