5.516499801014660420e-01 5.139791976901916248e-01 4.167203944126480764e-01 4.769284887639912429e-01 6.475790268170081854e-01 2.301450789005940190e-01
4.838686926758665741e-01 5.000000000000000000e-01 5.288962862447716962e-01 5.000000000000000000e-01 1.987075292891127276e-01 5.000000000000000000e-01
4.849879043257933620e-01 4.861199799579299374e-01 5.282176401329233828e-01 5.260241313674803854e-01 2.739830581869782677e-01 5.000000000000000000e-01
5.630924934778676061e-01 5.460447183640249058e-01 3.969570220810076377e-01 4.249322374004017022e-01 3.797224353483787396e-01 5.000000000000000000e-01
5.954576518814980179e-01 5.409193947360740884e-01 3.703215731140330758e-01 4.339097892782480814e-01 3.778422845543517039e-01 5.000000000000000000e-01
4.741605929123148266e-01 4.764344752154916485e-01 5.535326118520889072e-01 5.450985122742307842e-01 3.797224353483787396e-01 5.000000000000000000e-01
5.261167435516099777e-01 6.154176056258037208e-01 4.556726163005349051e-01 3.440135962476661979e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.393754966526076444e-01 6.251207974291823621e-01 4.324815196056683853e-01 3.325362574495069334e-01 1.987075292891127276e-01 5.000000000000000000e-01
5.000000000000000000e-01 5.000000000000000000e-01 4.999999999999999445e-01 5.000000000000000000e-01 1.987075292891127276e-01 5.000000000000000000e-01
6.541058579967259368e-01 5.162147734616947536e-01 3.428592616230894397e-01 4.695033482215077991e-01 3.676078504254306489e-01 1.987075292891127831e-01
