4.939836959636456637e-01 5.250028000880250234e-01 4.594630916695078837e-01
4.984266122135817545e-01 5.229771906018337857e-01 2.308085913898870190e-01
2.470386996842338367e-01 4.975701720464480449e-01 5.958139898827190528e-01
2.141183087366080318e-01 4.714505174293358580e-01 5.941484543617363556e-01
6.067921857210293313e-01 2.682211247010832800e-01 4.566270221509393656e-01
6.615563515867424194e-01 2.301975414086290250e-01 3.790951976599914452e-01
4.642115129647063076e-01 5.661537900923950817e-01 4.349132302150844342e-01
5.025357242432613170e-01 5.137789570676033479e-01 4.742049900959832698e-01
4.721519284687564211e-01 4.066482277700212422e-01 6.029025276519609511e-01
5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01
4.643723058950327554e-01 4.553486974973216528e-01 5.697452347307234710e-01
5.000000000000000000e-01 5.000000000000000000e-01 5.000000000000000000e-01
5.025357242432613170e-01 5.137789570676033479e-01 4.742049900959832698e-01
3.076930237289554060e-01 4.823065916472192294e-01 5.743236925845951468e-01
3.190647737291194552e-01 4.824154261825564505e-01 5.624747771436789945e-01
5.930045215671952974e-01 4.542811021051260112e-01 4.068832369927476988e-01
5.464728509295908587e-01 4.562500788961924014e-01 4.749848607863596528e-01
